row,session,column_position,lesson_text,status
3,1,2,"L3 Conditional Statement: COMPLETED
L4 Loops: IN PROGRESS",IN PROGRESS
5,1,2,L22 Project Prototype: IN PROGRESS,IN PROGRESS
6,1,2,L21 Project proposal: IN PROGRESS,IN PROGRESS
9,1,2,"L1 Introduction to Python Programming: COMPLETED
L1 Jupyter Notebook: IN PROGRESS",IN PROGRESS
29,1,2,L5: Loops IN PROGRESS,IN PROGRESS
30,1,2,"L16: Bootstrap Grid System COMPLETED
L17: Bootstrap Navbar & Carousel IN PROGRESS",IN PROGRESS
40,1,2,L4: Regression IN PROGRESS,IN PROGRESS
44,1,2,L22: Revision for Quiz 2 IN PROGRESS,IN PROGRESS
45,1,2,"L6: Classification 
IN PROGRESS",IN PROGRESS
84,1,2,"L1: Introduction to JavaScript

L2: Variables
IN PROGRESS",IN PROGRESS
85,1,2,"Lesson 8: My Holiday (Preparation + Part 1)

in progress",IN PROGRESS
2,1,2,L9 Numpy: COMPLETED,COMPLETED
4,1,2,"L23 Presentation: COMPLETED
L24: Graduation: COMPLETED",COMPLETED
7,1,2,L19 Mini Project 5: COMPLETED,COMPLETED
8,1,2,L19 Mini Project 5: COMPLETED,COMPLETED
11,1,2,L7: CSS Display & Flexbox: COMPLETED,COMPLETED
12,1,2,L5 CSS Selector: COMPLETED,COMPLETED
14,1,2,L5 Loops: COMPLETED,COMPLETED
17,1,2,"Quiz 2:
COMPLETED",COMPLETED
25,1,2,L1 Exercise: Completed,COMPLETED
32,1,2,L20: Python Math Module COMPLETED,COMPLETED
33,1,2,"L19: Project: My Quiz Game (Advanced) COMPLETED
L20: Python Math Module COMPLETED",COMPLETED
34,1,2,"L19: Project: My Quiz Game (Advanced) COMPLETED
L20: Python Math Module",COMPLETED
35,1,2,"L10: Mini Project (Part 1) COMPLETED
L11: Mini Project (Part 2) COMPLETED",COMPLETED
36,1,2,"L9: Quiz 1: 88/100
L10: Mini Project (Part 1)  COMPLETED
L11: Mini Project (Part 2) COMPLETED",COMPLETED
37,1,2,L10: Mini Project (Part 1) COMPLETED,COMPLETED
38,1,2,L10: Mini Project (Part 1) COMPLETED,COMPLETED
39,1,2,L4: Advanced Model Mechanisms – Attention & Output Generation COMPLETED,COMPLETED
46,1,2,L13: Quiz 1 COMPLETED,COMPLETED
47,1,2,L13: Quiz 1 COMPLETED,COMPLETED
48,1,2,L14 - Intro to Firebase + Lesson Activity: Online Event Form COMPLETED,COMPLETED
49,1,2,Lesson 7: Fine Tuning and Lesson 8: Prompt Engineering COMPLETED,COMPLETED
50,1,2,Lesson 3: Word Representations – Embeddings & Neural Networks COMPLETED,COMPLETED
51,1,2,Lesson 7: Fine Tuning and Lesson 8: Prompt Engineering COMPLETED,COMPLETED
52,1,2,"L11 EX: 
Mini Project - Steam Game Changer: COMPLETED",COMPLETED
54,1,2,"L11 EX: 
Mini Project - Steam Game Changer: COMPLETED",COMPLETED
74,1,2,"Session 1:
L13: Quiz 1
COMPLETED",COMPLETED
75,1,2,"Session 2:
L13: Quiz 1
COMPLETED",COMPLETED
76,1,2,"Session 1:
L13: Quiz 1
COMPLETED",COMPLETED
15,1,2,"L1
Introduction to Web Design: DONE

Setup GitHub & Stackblitz",OTHER PROGRESS
18,1,2,"L6 Exercise 
Classification: Done",OTHER PROGRESS
19,1,2,"L16 MP3
Prototyping Web Apps: Done

L17 Excercise
Introduction to AI-First Applications: Done",OTHER PROGRESS
20,1,2,"L20 Final Project
(Part 1) - Analysis: Done

L21 Final Project
(Part 2) - Wireframe",OTHER PROGRESS
21,1,2,"L8 Exercise
Designing an Ethical Chatbot 
Done",OTHER PROGRESS
22,1,2,"L8 Exercise
Designing an Ethical Chatbot 
Done",OTHER PROGRESS
23,1,2,"L8 Exercise
Designing an Ethical Chatbot 
Done",OTHER PROGRESS
24,1,2,"L9 Project
Mall Customer Segmentation: Hold

L10 Exercise
NLP: 8/8
Text Processing: Done",OTHER PROGRESS
26,1,2,"L22 Final Project
Report Making + Presentation Preparation: Done",OTHER PROGRESS
55,1,2,"Session 16:
L11: Quiz 1
DONE",OTHER PROGRESS
56,1,2,"Session 16:
L11: Quiz 1
DONE",OTHER PROGRESS
57,1,2,"Session 16:
L11: Quiz 1
DONE",OTHER PROGRESS
58,1,2,"Session 16:
L11: Quiz 1
DONE",OTHER PROGRESS
59,1,2,"L3: Neural Networks
FINISHED",OTHER PROGRESS
60,1,2,"L3: Neural Networks
FINISHED",OTHER PROGRESS
62,1,2,"L12: Introduction to Data Analysis
FINISHED",OTHER PROGRESS
63,1,2,"L12: Introduction to Data Analysis
FINISHED",OTHER PROGRESS
64,1,2,"L10:PrettyTable
DONE",OTHER PROGRESS
66,1,2,"L6: Clustering
FINISHED",OTHER PROGRESS
67,1,2,"L6: Clustering
FINISHED",OTHER PROGRESS
73,1,2,"2: Machine Learning
DONE",OTHER PROGRESS
